"Submit New Recipe","أرسل وصفة"
"Your Name","أسمك الكامل"
"Your Email","بريدك الالكتروني"
"Recipe Image","صورة الوصفة"
"Notes","ملاحظات"
"Your Notes","أضف ملاحظاتك"
"Submit Request","أرسل"
"Recipes History","الوصفات المرسلة"
"Recipe Submitted Successfully!","تم إرسال الوصفة بنجاح!"
"Please make sure the entered information are valid.","يرجى التأكد من أنك قد أدخلت جميع المعلومات المطلوبة"
"Service Policy","شروط الخدمة"
"No prescription of non-approved and sealed nature is issued by the doctor.","لا يتم صرف أي وصفة طبيعة غير معتمدة ومختومة من الطبيب."
"Our representative will receive the original prescription before delivering the medication to you.","سوف يتسلم مندوبنا أصل الوصفة الطبية قبل تسليمكم للدواء."
"Accept terms & conditions","أوافق على الشّروط والأحكام"
"UPLOADING A RECIPE","ارفع وصفة"
